SampleID,Sequencing_Set,16S_18S,Project,Location,Site,Exp_Day,Type_1,Type_2,Type_3,Form,pH,Volume,DNA_conc,Nep_Sar,DNAext_set
N02C,1,16S,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,4.79404,Nep_nat,NA
N03C,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,3.46512,Nep_nat,NA
N05B,1,16S,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,5.299,Nep_nat,NA
N06A,1,16S,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,1.21592,Nep_nat,NA
N06B,1,16S,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,2.5228,Nep_nat,NA
N06C,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,0.78016,Nep_nat,NA
N07A,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,16.303,Nep_nat,NA
N07B,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,0.34216,Nep_nat,NA
N08A,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,54.05556,Nep_nat,NA
N10A,1,16S,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,18.07328,Nep_nat,NA
N10B.,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,1.226,Nep_nat,NA
N12,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,15.49956,Nep_nat,NA
N13,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,22.324,Nep_nat,NA
N15,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,3.70724,Nep_nat,NA
N20,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,1.18032,Nep_nat,NA
N21,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,0.59628,Nep_nat,NA
N22,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,0.36436,Nep_nat,NA
N23A,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,1.35752,Nep_nat,NA
N23B,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,37.56084,Nep_nat,NA
N24,1,18S,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,10.70316,Nep_nat,NA
N27A,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,2.00304,Nep_nat,NA
N27C,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,50.11632,Nep_nat,NA
N28,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,16.07484,Nep_nat,NA
N29A,1,18S,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,0.79128,Nep_nat,NA
N32,1,18S,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,9.98636,Nep_nat,NA
N33,1,18S,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,39.78304,Nep_nat,NA
N34,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,31.4878,Nep_nat,NA
N37A.,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,1.42076,Nep_nat,NA
N37B,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,2.0574,Nep_nat,NA
N38B.,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,8.783,Nep_nat,NA
NaB04,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,2,2.475,Nep_nat,Yes
NaB05,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,1.9,1.656,Nep_nat,Yes
NaB06,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,4.75,4.7,2.089,Nep_nat,Yes
NaB07,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,5.1,4.165,Nep_nat,Yes
NaB08,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,12.4,0.897,Nep_nat,NA
NaB10,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,1.8,1.196,Nep_nat,Yes
NaK26,2,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,5,6.3,0.639,Nep_nat,NA
NaK27,2,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,5,0.7,0.917,Nep_nat,NA
NaK31,2,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,4.75,1.2,1.59,Nep_nat,Yes
NaK32,2,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,4.5,0.9,0.607,Nep_nat,NA
NaU23,2,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,ampullaria,squat,4.5,2.4,3.767,Nep_nat,Yes
Ne02,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,4.5,2.5,3.70216,Nep_nat,NA
Ne03,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,3,4,2.76064,Nep_nat,NA
Ne07,1,18S,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,4.5,19,15.25896,Nep_nat,NA
Ne09,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,3,2.5,0.31048,Nep_nat,NA
Ne12,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,3.5,11.2,15.76916,Nep_nat,NA
Ne13,1,18S,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,3.5,2.9,7.28724,Nep_nat,NA
Ne16,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,2,1.3,0.27676,Nep_nat,NA
Ne18,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,3.5,25,0.30188,Nep_nat,NA
Ne19,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,2,2,5.01128,Nep_nat,NA
Ne20,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,27,28.87664,Nep_nat,NA
Ne21,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,NA,15,26.93596,Nep_nat,NA
Ne22,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,2,3.5,17.089,Nep_nat,NA
Ne24,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,2.5,2.4,0.48336,Nep_nat,NA
Ne25,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,4,20,1.5534,Nep_nat,NA
Ne27,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,4,4,0.5464,Nep_nat,NA
Ne28,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,3.5,25,1.56372,Nep_nat,NA
Ne29,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,ampullaria,squat,4.5,15,2.1614,Nep_nat,NA
Ne30,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,2.5,2,1.2898,Nep_nat,NA
Ne31,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,1.5,0.9,3.18408,Nep_nat,NA
Ne32,1,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,2.5,3,1.49728,Nep_nat,NA
Ne33,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,4.5,2,8.2794,Nep_nat,NA
Ne34,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,6,20,20.4486,Nep_nat,NA
Ne36,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,5.1,15.52808,Nep_nat,NA
Ne37,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,5,2.6,13.0916,Nep_nat,NA
Ne38,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,5,2.3,17.4534,Nep_nat,NA
Ne39,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,6.5,9.2,79.37132,Nep_nat,NA
Ne40,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,6.2,5.39664,Nep_nat,NA
Ne41,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,4.6,4.08056,Nep_nat,NA
Ne42,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,5,0.5,10.46216,Nep_nat,NA
Ne44,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,5,15,31.26848,Nep_nat,NA
Ne45,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,4,34.55216,Nep_nat,NA
Ne46,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,6.5,2,63.43712,Nep_nat,NA
Ne47,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,4.5,16,52.66404,Nep_nat,NA
Ne48,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,4.5,10.9,14.03748,Nep_nat,NA
Ne49,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,2.5,6.4,19.40664,Nep_nat,NA
Ne50,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,5.5,2,38.7554,Nep_nat,NA
Ne51,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,30,12.09236,Nep_nat,NA
Ne52,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,6,3.5,13.4118,Nep_nat,NA
Ne53,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,2,1.5,41.06824,Nep_nat,NA
Ne54,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,22.5,12.77844,Nep_nat,NA
Ne55,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,5,15.6,27.96872,Nep_nat,NA
Ne57,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,7,6.5,47.55364,Nep_nat,NA
Ne58,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,NA,NA,68.8676,Nep_nat,NA
Ne59,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,2.5,7.5,49.46912,Nep_nat,NA
Ne60,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,5.5,7.6,15.12388,Nep_nat,NA
Ne62,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,4.5,40.2,22.18336,Nep_nat,NA
Ne63,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,gracilis,squat,2,1.75,2.33892,Nep_nat,NA
Ne64,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,5.5,3,13.68096,Nep_nat,NA
Ne65,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,gracilis,squat,3.5,2,12.83756,Nep_nat,NA
Ne66,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,gracilis,squat,2,1.5,10.26684,Nep_nat,NA
Ne67,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,gracilis,squat,2.5,4.4,10.936,Nep_nat,NA
Ne68,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,5,15,37.95468,Nep_nat,NA
Ne70,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,ampullaria,squat,5,1.6,18.74736,Nep_nat,NA
Ne71,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,ampullaria,squat,5,0.1,0.26232,Nep_nat,NA
Ne72,1,18S,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,ampullaria,squat,5,4,9.804,Nep_nat,NA
Ne73,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,6.5,18,14.04432,Nep_nat,NA
Ne74,1,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,4.5,7.5,22.83152,Nep_nat,NA
NrB01,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,4.5,7.6,0.591,Nep_nat,NA
NrB02,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,4.75,1.2,1.059,Nep_nat,Yes
NrB03,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,4.75,6.1,4.27,Nep_nat,NA
NrB09,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,rafflesiana,squat,4.5,1,2.338,Nep_nat,Yes
NrK29,2,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,1.75,9.2,1.836,Nep_nat,Yes
NrK30,2,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,2,8.6,0.644,Nep_nat,NA
NrK34,2,18S,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,5,0.5,2.3,Nep_nat,Yes
NrU16,2,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,4,0.2,0.643,Nep_nat,NA
NrU17,2,both,Comparison,Singapore,UPR,NA,pitcher,Nepenthes,rafflesiana,squat,5,12.5,1.743,Nep_nat,Yes
Nuna02,2,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,4.5,0.2,22.2,Nep_nat,NA
Nung08,2,both,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,gracilis,squat,2,0.01,3.24,Nep_nat,NA
Nunr12,2,18S,Comparison,Singapore,KRP,NA,pitcher,Nepenthes,rafflesiana,squat,4,0.1,2.69,Nep_nat,NA
S01,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,11.611,Soil_Bog,Yes
S02,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,29.876,Soil_Bog,Yes
S03,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,22.841,Soil_Bog,Yes
S04,2,16S,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,4.739,Soil_Bog,Yes
S05,2,16S,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,2.628,Soil_Bog,Yes
S06,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,5.18,Soil_Bog,Yes
S07,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,4.173,Soil_Bog,NA
S08,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,3.43,Soil_Bog,NA
S09,2,16S,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,1.083,Soil_Bog,Yes
S10,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Soil,soil,NA,NA,7,3.67,Soil_Bog,NA
Sa01,2,both,Comparison,Gulf_Coast,SB,NA,pitcher,Sarracenia,alata,tall,7.5,0.6,2.965,Sar_nat,Yes
Sa02,2,both,Comparison,Gulf_Coast,SB,NA,pitcher,Sarracenia,alata,tall,7.5,0.5,153.796,Sar_nat,Yes
Sa03,2,16S,Comparison,Gulf_Coast,SB,NA,pitcher,Sarracenia,alata,tall,5.75,0.7,86.728,Sar_nat,Yes
Sa05,2,both,Comparison,Gulf_Coast,SB,NA,pitcher,Sarracenia,alata,tall,5,2.2,7.993,Sar_nat,Yes
Sa06,2,both,Comparison,Gulf_Coast,SB,NA,pitcher,Sarracenia,alata,tall,5.25,1,1.969,Sar_nat,Yes
Sa07,2,both,Comparison,Gulf_Coast,SB,NA,pitcher,Sarracenia,alata,tall,4.75,3.9,3.906,Sar_nat,Yes
Sa08,2,16S,Comparison,Gulf_Coast,SB,NA,pitcher,Sarracenia,alata,tall,7,0.5,174.612,Sar_nat,Yes
Sa09,2,both,Comparison,Gulf_Coast,BF,NA,pitcher,Sarracenia,alata,tall,7,0.4,20.695,Sar_nat,Yes
Sa14,2,16S,Comparison,Gulf_Coast,BF,NA,pitcher,Sarracenia,alata,tall,4,0.5,220.944,Sar_nat,Yes
Sa15,2,both,Comparison,Gulf_Coast,BF,NA,pitcher,Sarracenia,alata,tall,4.75,4.5,1.809,Sar_nat,Yes
Sa16,2,both,Comparison,Gulf_Coast,BF,NA,pitcher,Sarracenia,alata,tall,4,1,6.421,Sar_nat,Yes
Sa17,2,both,Comparison,Gulf_Coast,BF,NA,pitcher,Sarracenia,alata,tall,5,0.1,184.836,Sar_nat,Yes
Sa18,2,both,Comparison,Gulf_Coast,BF,NA,pitcher,Sarracenia,alata,tall,4,2.8,27.313,Sar_nat,Yes
Sa19,2,both,Comparison,Gulf_Coast,OFB,NA,pitcher,Sarracenia,alata,tall,4.25,1,59.84,Sar_nat,Yes
Sa20,2,both,Comparison,Gulf_Coast,OFB,NA,pitcher,Sarracenia,alata,tall,4,6.4,18.091,Sar_nat,Yes
Sa21,2,both,Comparison,Gulf_Coast,OFB,NA,pitcher,Sarracenia,alata,tall,4.5,7.8,9.76,Sar_nat,NA
Sa22,2,both,Comparison,Gulf_Coast,OFB,NA,pitcher,Sarracenia,alata,tall,4.75,3.2,1.027,Sar_nat,Yes
Sa23,2,both,Comparison,Gulf_Coast,OFB,NA,pitcher,Sarracenia,alata,tall,3,2.9,7.241,Sar_nat,Yes
Sa24,2,both,Comparison,Gulf_Coast,OFB,NA,pitcher,Sarracenia,alata,tall,4.5,1.4,79.215,Sar_nat,Yes
Sa25,2,both,Comparison,Gulf_Coast,OFB,NA,pitcher,Sarracenia,alata,tall,4.5,1.7,120,Sar_nat,NA
Sa26,2,both,Comparison,Gulf_Coast,OFB,NA,pitcher,Sarracenia,alata,tall,4.25,6.9,1.914,Sar_nat,Yes
Sa27,2,both,Comparison,Gulf_Coast,WB,NA,pitcher,Sarracenia,alata,tall,4.75,1.5,53.894,Sar_nat,Yes
Sa28,2,both,Comparison,Gulf_Coast,WB,NA,pitcher,Sarracenia,alata,tall,4,5.8,7.307,Sar_nat,Yes
Sa29,2,both,Comparison,Gulf_Coast,WB,NA,pitcher,Sarracenia,alata,tall,5.5,8.1,50.724,Sar_nat,Yes
Sf01,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,5,11.5,1.444,Sar_nat,NA
Sf02,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,4,4.2,4.571,Sar_nat,Yes
Sf03,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,4.75,18,2.561,Sar_nat,NA
Sf04,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,4.75,8.2,10.216,Sar_nat,Yes
Sf05,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,4.75,30,6.123,Sar_nat,NA
Sf06,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,4.75,13,42.239,Sar_nat,NA
Sf07,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,5,12.3,1.932,Sar_nat,Yes
Sf08,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,6.5,8.5,50.479,Sar_nat,Yes
Sf09,2,16S,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,6,3.6,42.145,Sar_nat,Yes
Sf11,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,flava,tall,5,2.8,1.318,Sar_nat,NA
Sf12,2,both,Comparison,Gulf_Coast,NP,NA,pitcher,Sarracenia,flava,tall,4,4.4,3.073,Sar_nat,NA
Sf14,2,both,Comparison,Gulf_Coast,NP,NA,pitcher,Sarracenia,flava,tall,4,2.9,1.751,Sar_nat,Yes
Sf16,2,16S,Comparison,Gulf_Coast,NP,NA,pitcher,Sarracenia,flava,tall,4.25,3.4,0.677,Sar_nat,NA
Sf18,2,both,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,flava,tall,7,2.8,10.046,Sar_nat,Yes
Sf21,2,16S,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,flava,tall,7,2.5,130.473,Sar_nat,Yes
Sf22,2,both,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,flava,tall,5,5,2.323,Sar_nat,Yes
Sf23,2,16S,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,flava,tall,6.5,4,44.603,Sar_nat,Yes
Sf24,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,flava,tall,5.25,7.5,35.982,Sar_nat,Yes
Sf25,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,flava,tall,4,4.2,3.13,Sar_nat,NA
Sf27,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,flava,tall,6.5,2.9,28.429,Sar_nat,Yes
Sf28,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,flava,tall,3.75,3.4,0.646,Sar_nat,NA
Sf29,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,flava,tall,4,1.5,0.826,Sar_nat,NA
Sf30,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,flava,tall,4.75,3.7,0.672,Sar_nat,NA
Sf31,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,flava,tall,4,4.2,2.69,Sar_nat,NA
Sf32,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,flava,tall,4,2.3,0.614,Sar_nat,NA
Sf33,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,flava,tall,5,6.5,19.002,Sar_nat,Yes
Sf34,2,16S,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,flava,tall,5,3,2.696,Sar_nat,Yes
Sf37,2,16S,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,flava,tall,6,1.6,38.045,Sar_nat,Yes
Sf38,2,both,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,flava,tall,7,1.5,15.254,Sar_nat,Yes
Sf41,2,16S,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,flava,tall,5,1.8,2.183,Sar_nat,Yes
Sl01,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,7,4,0.673,Sar_nat,NA
Sl02,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,6.5,0.3,87.331,Sar_nat,Yes
Sl06,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,4.75,12.5,8.06,Sar_nat,NA
Sl07,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,5,4,9.23,Sar_nat,NA
Sl08,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,5,5.1,2.98,Sar_nat,NA
Sl10,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,5,2.5,1.92,Sar_nat,Yes
Sl11,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,5,1.9,1.544,Sar_nat,Yes
Sl13,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,7,6.4,24.7,Sar_nat,NA
Sl14,2,16S,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,8,0.5,13.431,Sar_nat,Yes
Sl15,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,4.75,2.1,1.124,Sar_nat,Yes
Sl16,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,3.5,1.8,9.751,Sar_nat,Yes
Sl17,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,5,2.6,32.6,Sar_nat,NA
Sl18,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,leucophylla,tall,5,0.4,40.772,Sar_nat,Yes
Sl19,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,leucophylla,tall,4.5,6.5,30.1,Sar_nat,NA
Sl20,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,leucophylla,tall,4.75,20,3.293,Sar_nat,Yes
Sl21,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,leucophylla,tall,4.75,4.8,39.534,Sar_nat,Yes
Sl22,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,leucophylla,tall,4.75,7.5,8.209,Sar_nat,Yes
Sl23,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,leucophylla,tall,4.75,27,8.969,Sar_nat,Yes
Sl24,2,both,Comparison,Gulf_Coast,BW,NA,pitcher,Sarracenia,leucophylla,tall,4.75,13.2,1.137,Sar_nat,Yes
Sl25,2,both,Comparison,Gulf_Coast,NB,NA,pitcher,Sarracenia,leucophylla,tall,6.5,6,188.375,Sar_nat,Yes
Sl26,2,16S,Comparison,Gulf_Coast,NB,NA,pitcher,Sarracenia,leucophylla,tall,5,2.8,31.162,Sar_nat,Yes
Sl27,2,both,Comparison,Gulf_Coast,NB,NA,pitcher,Sarracenia,leucophylla,tall,5.5,3.6,6.652,Sar_nat,Yes
Sl28,2,both,Comparison,Gulf_Coast,NB,NA,pitcher,Sarracenia,leucophylla,tall,4.75,15,1.391,Sar_nat,Yes
Sl29,2,both,Comparison,Gulf_Coast,NB,NA,pitcher,Sarracenia,leucophylla,tall,5,30,0.501,Sar_nat,NA
Sl30,2,16S,Comparison,Gulf_Coast,NB,NA,pitcher,Sarracenia,leucophylla,tall,5,2.7,10.8,Sar_nat,NA
Sl31,2,both,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,leucophylla,tall,5,8.6,3.17,Sar_nat,Yes
Sl32,2,16S,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,leucophylla,tall,5.25,4.5,10,Sar_nat,NA
Sl33,2,both,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,leucophylla,tall,5.5,4.8,3.108,Sar_nat,Yes
